text,label,source,cleaned_text,text_hash
Leite condensado diet pode ser consumido inteiro sem impacto no controle glicêmico.,FAKE,curated_expert,leite condensado diet pode ser consumido inteiro sem impacto no controle glicêmico,9c4fad347f01f36c4967ad45d5c67538
Batata-doce pode ser consumida sem limite por diabéticos porque tem índice glicêmico zero.,FAKE,curated_expert,batata doce pode ser consumida sem limite por diabéticos porque tem índice glicêmico zero,a8a9e53c56bb029db8986a707e9ba4c1
O consumo de peixes ricos em ômega-3 pelo menos duas vezes por semana é recomendado para saúde cardiovascular no diabetes.,REAL,curated_expert,o consumo de peixes ricos em ômega 3 pelo menos duas vezes por semana é recomendado para saúde cardiovascular no diabetes,24cf5de4337ee77bd9f81626a3c9d35b
Diabéticos tipo 1 desenvolvem a doença porque consumiram refrigerante em excesso na infância.,FAKE,curated_expert,diabéticos tipo 1 desenvolvem a doença porque consumiram refrigerante em excesso na infância,2db09c885f4d2e4003a901e10479d1a5
Chá de folha de amora é cientificamente comprovado como substituto da insulina NPH.,FAKE,curated_expert,chá de folha de amora é cientificamente comprovado como substituto da insulina nph,41bbf8feba9c7077e02336de08257ddd
"A insulina causa dependência química, vicia o organismo e acelera a perda da visão.",FAKE,curated_expert,a insulina causa dependência química vicia o organismo e acelera a perda da visão,f68ff05b91e866852ac9481619f8a3ff
Diabéticos podem comer farinha de mandioca e polvilho sem limite porque são derivados de raiz natural.,FAKE,curated_expert,diabéticos podem comer farinha de mandioca e polvilho sem limite porque são derivados de raiz natural,55a3c7de94ecf126682c633eed5a31f7
Golpe usa vídeo falso de Faustão para fazer propaganda de tratamento ineficaz contra a diabetes,FAKE,www.boatos.org,golpe usa vídeo falso de faustão para fazer propaganda de tratamento ineficaz contra a diabetes,4864ebd9ebf6141c38995eeae6f6b4ed
Melancia é proibida para quem tem diabetes porque vira açúcar puro no estômago instantaneamente.,FAKE,curated_expert,melancia é proibida para quem tem diabetes porque vira açúcar puro no estômago instantaneamente,b90f86a46b802bed7c6bd66d85380210
O diabetes tipo 1 é uma doença autoimune na qual o sistema imunológico destrói as células beta produtoras de insulina no pâncreas.,REAL,curated_expert,o diabetes tipo 1 é uma doença autoimune na qual o sistema imunológico destrói as células beta produtoras de insulina no pâncreas,d7f65bfd09f79b54bdc09f7dc67358be
"Pessoas com diabetes devem ter cautela com produtos diet, pois embora não contenham açúcar adicionado, podem ser calóricos e ricos em gordura.",REAL,curated_expert,pessoas com diabetes devem ter cautela com produtos diet pois embora não contenham açúcar adicionado podem ser calóricos e ricos em gordura,f2c1231b7bef5726bef5a50a3f32cfce
Semente de abacate ralada fervida cura diabetes tipo 2 em menos de um mês.,FAKE,curated_expert,semente de abacate ralada fervida cura diabetes tipo 2 em menos de um mês,499420f0463d4286ca676b03dfe2f68e
Aplicar insulina diretamente na veia faz o efeito ser mais rápido e seguro.,FAKE,curated_expert,aplicar insulina diretamente na veia faz o efeito ser mais rápido e seguro,91598a8bff167b27c2cd52575baf6877
