text,label,source,cleaned_text,text_hash
Vídeos fazem sugestão absurda de que mistura de bicarbonato de sódio e mel é a solução definitiva para a ereção masculina,FAKE,www.boatos.org,vídeos fazem sugestão absurda de que mistura de bicarbonato de sódio e mel é a solução definitiva para a ereção masculina,475a2d86f9bb1b58fc1428401ac17e75
Chá de folha de manga cura diabetes em 3 dias.,FAKE,curated,chá de folha de manga cura diabetes em 3 dias,cfda6ba90fbdcb3af1070da7584fad68
Monitorar a glicemia capilar diariamente ajuda a prevenir episódios de hipoglicemia e hiperglicemia.,REAL,curated,monitorar a glicemia capilar diariamente ajuda a prevenir episódios de hipoglicemia e hiperglicemia,6b531e421e684e204d9456566ec0e158
Beber 5 litros de água por dia controla o diabetes sem medicação.,FAKE,curated,beber 5 litros de água por dia controla o diabetes sem medicação,05e4fe5e4d194eda42631d5f2ae95143
Diabéticos não precisam medir a glicose se estiverem se sentindo bem.,FAKE,curated,diabéticos não precisam medir a glicose se estiverem se sentindo bem,27a5a0e043800337895107d2e5629067
César Tralli e R. R. Soares aparecem em vídeo falso sobre tratamento natural para próstata e disfunção erétil,FAKE,www.boatos.org,césar tralli e r r soares aparecem em vídeo falso sobre tratamento natural para próstata e disfunção erétil,61791bc73c7f6857a97e32e6f5b2bb3d
Diabéticos não podem comer nenhuma fruta porque todas têm muito açúcar.,FAKE,curated,diabéticos não podem comer nenhuma fruta porque todas têm muito açúcar,2db61fd41bbe0ce5ae23369e029611b8
O governo esconde que o cloreto de magnésio cura diabetes.,FAKE,curated,o governo esconde que o cloreto de magnésio cura diabetes,e8b22ce4f00d4a81428be78e3b147a05
A cura do diabetes está no vinagre de maçã tomado toda manhã.,FAKE,curated,a cura do diabetes está no vinagre de maçã tomado toda manhã,5c925c1d82c3215d614ddd0a8605c88b
Truque do abacaxi não consegue curar pré-diabetes e nem diabetes do tipo 2,FAKE,www.boatos.org,truque do abacaxi não consegue curar pré diabetes e nem diabetes do tipo 2,808f5fa34b95a38eab0430187a5894ca
"É fundamental que pacientes diabéticos controlem a ingestão de carboidratos, priorizando os de baixo índice glicêmico.",REAL,curated,é fundamental que pacientes diabéticos controlem a ingestão de carboidratos priorizando os de baixo índice glicêmico,3bdbaef8df8086a5433c2576c6fa5ba8
"Exercícios de resistência muscular também são recomendados para pacientes diabéticos, pelo menos 2 vezes por semana.",REAL,curated,exercícios de resistência muscular também são recomendados para pacientes diabéticos pelo menos 2 vezes por semana,34d3ddf3fc69e6caabd9920b55579e81
"A metformina é o medicamento de primeira linha para o tratamento do diabetes tipo 2, segundo as diretrizes da SBD.",REAL,curated,a metformina é o medicamento de primeira linha para o tratamento do diabetes tipo 2 segundo as diretrizes da sbd,3be7825cc64e588c19da9d2e0751ea87
5 mitos e fake news sobre o sono e saúde na hora de dormir,FAKE,www.boatos.org,5 mitos e fake news sobre o sono e saúde na hora de dormir,dce02bbb84aa11ac67a303558456b14f
